label,dice
mean,0.8815619498491287
1,0.9567200541496277
2,0.9651052355766296
3,0.9595247507095337
4,0.7383766770362854
5,0.9776161909103394
6,0.8753891587257385
7,0.9017156362533569
8,0.8362720608711243
9,0.9200000166893005
10,0.96489018201828
11,0.9659504890441895
12,0.9703923463821411
13,0.9650760293006897
14,0.9657780528068542
15,0.9202572107315063
16,0.9426016807556152
17,0.8937960267066956
18,0.6240858435630798
19,0.8760797381401062
20,0.6561809182167053
21,0.8212374448776245
22,0.9483042359352112
23,0.7792207598686218
24,0.9745925068855286
25,0.9495050311088562
26,0.9195148944854736
27,0.9204689264297485
28,0.9242333173751831
29,0.926388680934906
30,0.9220657348632812
31,0.9163011312484741
32,0.9226056933403015
33,0.9142246246337891
34,0.9085726737976074
35,0.9032257795333862
36,0.9061313271522522
37,0.8764916658401489
38,0.8433497548103333
39,0.8266938924789429
40,0.8096455931663513
41,0.8218978047370911
42,0.8165517449378967
43,0.7909059524536133
44,0.7809171080589294
45,0.7561709880828857
46,0.7587600946426392
47,0.7535794973373413
48,0.7976625561714172
49,0.8056662082672119
50,0.761904776096344
51,0.9652470350265503
52,0.9569695591926575
53,0.9360146522521973
54,0.9052069187164307
55,0.8055813908576965
56,0.8422071933746338
57,0.8401826620101929
58,0.9094017148017883
59,0.8610067367553711
60,0.925153374671936
61,0.9217810034751892
62,0.9428571462631226
63,0.9498884081840515
64,0.8849915862083435
65,0.9172259569168091
66,0.931034505367279
67,0.932920515537262
68,0.9177489280700684
69,0.7343931198120117
70,0.6260190606117249
71,0.8712374567985535
72,0.8242135047912598
73,0.9237511157989502
74,0.865217387676239
75,0.9331713914871216
76,0.9197392463684082
77,0.9465152621269226
78,0.9432088136672974
79,0.8910890817642212
80,0.9585720896720886
81,0.9682947993278503
82,0.9587863683700562
83,0.9640445113182068
84,0.945680558681488
85,0.9508232474327087
86,0.9547194242477417
87,0.9616656303405762
88,0.9450196027755737
89,0.9507509469985962
90,
91,0.842772364616394
92,0.8606557250022888
93,0.8192911148071289
94,0.8773125410079956
95,0.8954718708992004
96,0.8814525008201599
97,0.8796626925468445
98,0.8754914999008179
99,0.7860501408576965
100,0.7777286767959595
101,0.8261269330978394
102,0.86439448595047
103,0.9214175939559937
104,0.7041742205619812
105,0.774917483329773
106,0.7951441407203674
107,0.843790590763092
108,0.897743284702301
109,0.9079069495201111
110,0.885064959526062
111,0.9071242213249207
112,0.8977532982826233
113,0.9041227102279663
114,0.898785412311554
115,0.8932926654815674
116,0.9332104921340942
117,0.8953970074653625
rib_mean,0.8572864880164465
