label,dice
mean,0.7837829751701191
1,0.9423685073852539
2,0.9105284810066223
3,0.9178824424743652
4,0.5718749761581421
5,0.9593433737754822
6,0.7376499176025391
7,0.7005300521850586
8,0.5644171833992004
9,0.7565392255783081
10,0.9152306914329529
11,0.9343046545982361
12,0.9272995591163635
13,0.9023805856704712
14,0.9317805767059326
15,0.7509340047836304
16,0.8350055813789368
17,0.7457982897758484
18,0.5349035263061523
19,0.6653175354003906
20,0.5383045673370361
21,0.7391625642776489
22,0.8452852964401245
23,0.39175257086753845
24,0.902966320514679
25,0.9069108963012695
26,0.8947598338127136
27,0.9032970666885376
28,0.9020618796348572
29,0.8920145034790039
30,0.8814722299575806
31,0.8829135298728943
32,0.8740000128746033
33,0.8605716824531555
34,0.829351544380188
35,0.8553646802902222
36,0.8785192966461182
37,0.9009278416633606
38,0.8921762108802795
39,0.8704768419265747
40,0.8281081318855286
41,0.7963898777961731
42,0.7836021780967712
43,0.761553943157196
44,0.7537279725074768
45,0.7123287916183472
46,0.7450713515281677
47,0.7118644118309021
48,0.743849515914917
49,0.783382773399353
50,0.39612486958503723
51,0.9267646670341492
52,0.9071439504623413
53,0.7805397510528564
54,0.8077858686447144
55,0.5703771710395813
56,0.5886722207069397
57,0.634482741355896
58,0.7404844164848328
59,0.7132353186607361
60,0.8763505220413208
61,0.6946651339530945
62,0.848812997341156
63,0.8594871759414673
64,0.6749760508537292
65,0.8009991645812988
66,0.8103514909744263
67,0.7913669347763062
68,0.7834629416465759
69,0.7033942937850952
70,0.5601654648780823
71,0.8344109058380127
72,0.7713437080383301
73,0.8133720755577087
74,0.7826319932937622
75,0.9326609969139099
76,0.9188792109489441
77,0.9477006793022156
78,0.9472360014915466
79,0.8414119482040405
80,0.9453616142272949
81,0.9285635352134705
82,0.933802604675293
83,0.918544352054596
84,0.9098089337348938
85,0.9067749977111816
86,0.936482846736908
87,0.9330160021781921
88,0.8962264060974121
89,0.9140333533287048
90,
91,0.7262912392616272
92,0.46086955070495605
93,0.5623835921287537
94,0.5207920670509338
95,0.6788766980171204
96,0.7736877799034119
97,0.7790432572364807
98,0.8166067600250244
99,0.7840607166290283
100,0.821963369846344
101,0.8329601287841797
102,0.7399854063987732
103,0.7712609767913818
104,0.567415714263916
105,0.4585365951061249
106,0.5357142686843872
107,0.5755084156990051
108,0.6885934472084045
109,0.767166018486023
110,0.7706117033958435
111,0.7485380172729492
112,0.754083514213562
113,0.7890255451202393
114,0.7226666808128357
115,0.7088235020637512
116,0.8761062026023865
117,0.739091157913208
rib_mean,0.6928822385768095
