label_id,label_name,is_bone_label,n_baseline,mean_baseline,std_baseline,median_baseline,q25_baseline,q75_baseline,n_follow-up,mean_follow-up,std_follow-up,median_follow-up,q25_follow-up,q75_follow-up,n_patients_paired,median_delta,mean_delta,wilcoxon_stat,wilcoxon_p,mean_difference
62,superior_vena_cava,0,357,0.00067665,0.00489191,0,0,0,201,0.00112799,0.0103271,0,0,0,145,0,0.000488823,16,0.441268,0.00045134
83,gluteus_medius_right,0,358,0.000312292,0.0017296,0,0,0,202,0.000731798,0.00536899,0,0,0,146,0,0.000437243,326,0.700459,0.000419506
91,skull,1,356,0.000889611,0.00471676,0,0,0,200,0.00126794,0.00454687,0,0,0,145,0,0.000422789,194,0.122209,0.00037833
79,spinal_cord,0,358,0.00694453,0.0230399,0,0,0.000953408,202,0.00726258,0.0194515,0,0,0.00446237,146,0,0.000416731,1196,0.638465,0.000318049
84,gluteus_minimus_left,0,358,0.000280595,0.00157298,0,0,0,202,0.000590577,0.00402163,0,0,0,146,0,0.000328524,185,0.923441,0.000309981
14,lung_lower_lobe_right,0,358,0.00127832,0.0123695,0,0,0,202,0.00149011,0.0135713,0,0,0,146,0,-7.91068e-05,1064,0.639428,0.000211795
52,aorta,0,358,0.000703358,0.00270907,0,0,0,202,0.000887578,0.00398837,0,0,0,146,0,0.00016042,898,0.900407,0.00018422
82,gluteus_medius_left,0,358,0.000373088,0.00216355,0,0,0,202,0.000553105,0.00246036,0,0,0,146,0,9.90957e-05,235,0.416226,0.000180016
6,stomach,0,358,9.36485e-05,0.0016406,0,0,0,202,0.000259084,0.0017039,0,0,0,146,0,0.000127655,2,0.273322,0.000165435
18,small_bowel,0,358,0.000285577,0.00358372,0,0,0,202,0.000402332,0.00351994,0,0,0,146,0,-7.35769e-05,111,0.614811,0.000116755
86,autochthon_left,0,358,0.000264934,0.00107284,0,0,0,202,0.000318681,0.00113984,0,0,7.04575e-05,146,0,9.92844e-05,507,0.0111331,5.3747e-05
10,lung_upper_lobe_left,0,358,0.000387576,0.00201548,0,0,4.3845e-05,202,0.000410864,0.00210654,0,0,5.359e-05,146,0,-6.43012e-05,1137,0.825892,2.3288e-05
87,autochthon_right,0,358,0.00039132,0.00165865,0,0,0,202,0.000410565,0.00120242,0,0,0.000224333,146,0,2.73536e-05,913,0.158026,1.92448e-05
3,kidney_left,0,355,7.14239e-06,7.20702e-05,0,0,0,202,2.54989e-05,0.000353742,0,0,0,146,0,2.54873e-05,5,1,1.83565e-05
23,kidney_cyst_left,0,59,0,0,0,0,0,22,0,0,0,0,0,15,0,0,,,0
54,brachiocephalic_trunk,0,357,0.000738995,0.00627183,0,0,0,201,0.000728987,0.00758367,0,0,0,145,0,-1.25614e-06,9,0.753152,-1.00083e-05
81,gluteus_maximus_right,0,358,1.47015e-05,0.000207977,0,0,0,202,4.59149e-06,4.36819e-05,0,0,0,146,0,-2.96962e-05,10,0.916512,-1.011e-05
80,gluteus_maximus_left,0,358,1.87944e-05,0.000349685,0,0,0,202,1.5599e-06,1.56711e-05,0,0,0,146,0,-4.44313e-05,4,0.715001,-1.72345e-05
