"global_step","rebellious-stork-38993360 - valid_lvl3/val_tlg_bias","rebellious-stork-38993360 - valid_lvl3/val_tlg_bias__MIN","rebellious-stork-38993360 - valid_lvl3/val_tlg_bias__MAX","rebellious-stork-38993360 - _step","rebellious-stork-38993360 - _step__MIN","rebellious-stork-38993360 - _step__MAX"
"0","0.14283416087691408","0.14283416087691408","0.14283416087691408","150758","150758","150758"
"478","0.12015784696604197","0.12015784696604197","0.12015784696604197","151358","151358","151358"
"956","0.11723467890913479","0.11723467890913479","0.11723467890913479","151959","151959","151959"
"1434","0.08745311964780857","0.08745311964780857","0.08745311964780857","152559","152559","152559"
"1912","0.08098331986305614","0.08098331986305614","0.08098331986305614","153160","153160","153160"
"2390","0.07880717040732121","0.07880717040732121","0.07880717040732121","153760","153760","153760"
"2868","0.053462210012814745","0.053462210012814745","0.053462210012814745","154361","154361","154361"
"3346","0.04677246112483912","0.04677246112483912","0.04677246112483912","154961","154961","154961"
"3824","0.051510430567969494","0.051510430567969494","0.051510430567969494","155562","155562","155562"
"4302","0.04154632480229992","0.04154632480229992","0.04154632480229992","156162","156162","156162"
"4780","0.04620995860284147","0.04620995860284147","0.04620995860284147","156763","156763","156763"
"5258","0.0487480448702207","0.0487480448702207","0.0487480448702207","157363","157363","157363"
"5736","0.040652928832106486","0.040652928832106486","0.040652928832106486","157964","157964","157964"
"6214","0.04958884584574172","0.04958884584574172","0.04958884584574172","158564","158564","158564"
"6692","0.04426772720538653","0.04426772720538653","0.04426772720538653","159165","159165","159165"
"7170","0.04442176710402306","0.04442176710402306","0.04442176710402306","159765","159765","159765"
"7648","0.061384439683304384","0.061384439683304384","0.061384439683304384","160366","160366","160366"
"8126","0.03940133661261569","0.03940133661261569","0.03940133661261569","160966","160966","160966"
"8604","0.04749015840486838","0.04749015840486838","0.04749015840486838","161567","161567","161567"
"9082","0.05095216361596846","0.05095216361596846","0.05095216361596846","162167","162167","162167"
"9560","0.05844318292414149","0.05844318292414149","0.05844318292414149","162768","162768","162768"
"10038","0.04224721183522771","0.04224721183522771","0.04224721183522771","163368","163368","163368"
"10516","0.053906391840428114","0.053906391840428114","0.053906391840428114","163969","163969","163969"
"10994","0.048741882792315804","0.048741882792315804","0.048741882792315804","164569","164569","164569"
"11472","0.04285374838554372","0.04285374838554372","0.04285374838554372","165170","165170","165170"
"11950","0.048908537089562","0.048908537089562","0.048908537089562","165770","165770","165770"
"12428","0.04958043972295948","0.04958043972295948","0.04958043972295948","166371","166371","166371"
"12906","0.0543237700073335","0.0543237700073335","0.0543237700073335","166971","166971","166971"
"13384","0.054987118406316794","0.054987118406316794","0.054987118406316794","167572","167572","167572"
"13862","0.058601153817457646","0.058601153817457646","0.058601153817457646","168172","168172","168172"
"14340","0.050874028623533935","0.050874028623533935","0.050874028623533935","168773","168773","168773"
"14818","0.05742155715751533","0.05742155715751533","0.05742155715751533","169373","169373","169373"
"15296","0.04309886621717268","0.04309886621717268","0.04309886621717268","169974","169974","169974"
"15774","0.04521259568476429","0.04521259568476429","0.04521259568476429","170574","170574","170574"
"16252","0.04699681050335176","0.04699681050335176","0.04699681050335176","171175","171175","171175"
"16730","0.04679542177249319","0.04679542177249319","0.04679542177249319","171775","171775","171775"
"17208","0.04570393312800055","0.04570393312800055","0.04570393312800055","172376","172376","172376"
"17686","0.040479513321024105","0.040479513321024105","0.040479513321024105","172976","172976","172976"
"18164","0.04587397311264888","0.04587397311264888","0.04587397311264888","173577","173577","173577"
"18642","0.04883448247206756","0.04883448247206756","0.04883448247206756","174177","174177","174177"
"19120","0.05221394341377816","0.05221394341377816","0.05221394341377816","174778","174778","174778"
"19598","0.04371758067132666","0.04371758067132666","0.04371758067132666","175378","175378","175378"
"20076","0.04406425847152535","0.04406425847152535","0.04406425847152535","175979","175979","175979"
"20554","0.04700325409663865","0.04700325409663865","0.04700325409663865","176579","176579","176579"
"21032","0.048830270662736625","0.048830270662736625","0.048830270662736625","177180","177180","177180"
"21510","0.04113070623208888","0.04113070623208888","0.04113070623208888","177780","177780","177780"
"21988","0.03913745537806207","0.03913745537806207","0.03913745537806207","178381","178381","178381"
"22466","0.04440911750022609","0.04440911750022609","0.04440911750022609","178981","178981","178981"
"22944","0.04577518089149052","0.04577518089149052","0.04577518089149052","179582","179582","179582"
"23422","0.048331834053477414","0.048331834053477414","0.048331834053477414","180182","180182","180182"
"23900","0.04128983536494884","0.04128983536494884","0.04128983536494884","180783","180783","180783"
"24378","0.0449532998415331","0.0449532998415331","0.0449532998415331","181383","181383","181383"
"24856","0.0554931022776052","0.0554931022776052","0.0554931022776052","181984","181984","181984"
"25334","0.03831625955988271","0.03831625955988271","0.03831625955988271","182584","182584","182584"
"25812","0.047212253509757995","0.047212253509757995","0.047212253509757995","183185","183185","183185"
"26290","0.047909894546207324","0.047909894546207324","0.047909894546207324","183785","183785","183785"
"26768","0.04464168931735912","0.04464168931735912","0.04464168931735912","184386","184386","184386"
"27246","0.04618310438803373","0.04618310438803373","0.04618310438803373","184986","184986","184986"
"27724","0.05157940176864847","0.05157940176864847","0.05157940176864847","185587","185587","185587"
"28202","0.044055072704139046","0.044055072704139046","0.044055072704139046","186187","186187","186187"
"28680","0.05086142290980579","0.05086142290980579","0.05086142290980579","186788","186788","186788"
"29158","0.05289092530699399","0.05289092530699399","0.05289092530699399","187388","187388","187388"
"29636","0.05643195522880445","0.05643195522880445","0.05643195522880445","187989","187989","187989"
"30114","0.0596027867816305","0.0596027867816305","0.0596027867816305","188589","188589","188589"
"30592","0.05930639611473546","0.05930639611473546","0.05930639611473546","189190","189190","189190"
"31070","0.05377228000165465","0.05377228000165465","0.05377228000165465","189790","189790","189790"
"31548","0.04493991562571281","0.04493991562571281","0.04493991562571281","190391","190391","190391"
"32026","0.05007798636320214","0.05007798636320214","0.05007798636320214","190991","190991","190991"
"32504","0.04589044867540137","0.04589044867540137","0.04589044867540137","191592","191592","191592"
"32982","0.04586483224127919","0.04586483224127919","0.04586483224127919","192192","192192","192192"
"33460","0.0375313969143929","0.0375313969143929","0.0375313969143929","192793","192793","192793"
"33938","0.04681482733837747","0.04681482733837747","0.04681482733837747","193393","193393","193393"
"34416","0.047513760471095644","0.047513760471095644","0.047513760471095644","193994","193994","193994"
"34894","0.05739345788158691","0.05739345788158691","0.05739345788158691","194594","194594","194594"
"35372","0.0492338611660764","0.0492338611660764","0.0492338611660764","195195","195195","195195"
"35850","0.04619240268276861","0.04619240268276861","0.04619240268276861","195795","195795","195795"
"36328","0.04558228384494447","0.04558228384494447","0.04558228384494447","196396","196396","196396"
"36806","0.058488128798601866","0.058488128798601866","0.058488128798601866","196996","196996","196996"
"37284","0.0531310656060202","0.0531310656060202","0.0531310656060202","197597","197597","197597"
"37762","0.05019437676599363","0.05019437676599363","0.05019437676599363","198197","198197","198197"
"38240","0.050896814630295224","0.050896814630295224","0.050896814630295224","198798","198798","198798"
"38718","0.04997807550721635","0.04997807550721635","0.04997807550721635","199398","199398","199398"
"39196","0.06086079055706087","0.06086079055706087","0.06086079055706087","199999","199999","199999"
"39674","0.06249192445419538","0.06249192445419538","0.06249192445419538","200599","200599","200599"
"40152","0.05260627081644578","0.05260627081644578","0.05260627081644578","201200","201200","201200"
"40630","0.04448480904699327","0.04448480904699327","0.04448480904699327","201800","201800","201800"
"41108","0.04173113782225977","0.04173113782225977","0.04173113782225977","202401","202401","202401"
"41586","0.05542765040762532","0.05542765040762532","0.05542765040762532","203001","203001","203001"
"42064","0.054696014580818325","0.054696014580818325","0.054696014580818325","203602","203602","203602"
"42542","0.04943353040382648","0.04943353040382648","0.04943353040382648","204202","204202","204202"
"43020","0.051754691411191836","0.051754691411191836","0.051754691411191836","204803","204803","204803"
"43498","0.04298529161277633","0.04298529161277633","0.04298529161277633","205403","205403","205403"
"43976","0.04275941849501135","0.04275941849501135","0.04275941849501135","206004","206004","206004"
"44454","0.05093412991025103","0.05093412991025103","0.05093412991025103","206604","206604","206604"
"44932","0.053816813617371596","0.053816813617371596","0.053816813617371596","207205","207205","207205"
"45410","0.05342797295620235","0.05342797295620235","0.05342797295620235","207805","207805","207805"
"45888","0.05504311581936259","0.05504311581936259","0.05504311581936259","208406","208406","208406"
"46366","0.05351070247706957","0.05351070247706957","0.05351070247706957","209006","209006","209006"
"46844","0.04689111806295935","0.04689111806295935","0.04689111806295935","209607","209607","209607"
"47322","0.05373068350271728","0.05373068350271728","0.05373068350271728","210207","210207","210207"
"47800","0.061549492460938215","0.061549492460938215","0.061549492460938215","210808","210808","210808"
"48278","0.060290145804174244","0.060290145804174244","0.060290145804174244","211408","211408","211408"
"48756","0.05130727453014025","0.05130727453014025","0.05130727453014025","212009","212009","212009"
"49234","0.04039279986710216","0.04039279986710216","0.04039279986710216","212609","212609","212609"
"49712","0.05976343270725547","0.05976343270725547","0.05976343270725547","213210","213210","213210"
"50190","0.06383469065771444","0.06383469065771444","0.06383469065771444","213810","213810","213810"
"50668","0.06386910601614569","0.06386910601614569","0.06386910601614569","214411","214411","214411"
"51146","0.049112253434335194","0.049112253434335194","0.049112253434335194","215011","215011","215011"
"51624","0.058557479785611995","0.058557479785611995","0.058557479785611995","215612","215612","215612"
"52102","0.059029550599053696","0.059029550599053696","0.059029550599053696","216212","216212","216212"
"52580","0.05673622302352809","0.05673622302352809","0.05673622302352809","216813","216813","216813"
"53058","0.050104760511133536","0.050104760511133536","0.050104760511133536","217413","217413","217413"
