"global_step","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias__MIN","rebellious-stork-38993360 - valid_lvl3/val_mtv_bias__MAX","rebellious-stork-38993360 - _step","rebellious-stork-38993360 - _step__MIN","rebellious-stork-38993360 - _step__MAX"
"35372","0.051454717135176256","0.051454717135176256","0.051454717135176256","195195","195195","195195"
"35850","0.047962211144085116","0.047962211144085116","0.047962211144085116","195795","195795","195795"
"36328","0.05457234314571206","0.05457234314571206","0.05457234314571206","196396","196396","196396"
"36806","0.05990062738083697","0.05990062738083697","0.05990062738083697","196996","196996","196996"
"37284","0.06038715924399021","0.06038715924399021","0.06038715924399021","197597","197597","197597"
"37762","0.058326687365292736","0.058326687365292736","0.058326687365292736","198197","198197","198197"
"38240","0.06753967963875486","0.06753967963875486","0.06753967963875486","198798","198798","198798"
"38718","0.05332748091015487","0.05332748091015487","0.05332748091015487","199398","199398","199398"
"39196","0.06642138914993176","0.06642138914993176","0.06642138914993176","199999","199999","199999"
"39674","0.06084233179736214","0.06084233179736214","0.06084233179736214","200599","200599","200599"
"40152","0.05842289921994775","0.05842289921994775","0.05842289921994775","201200","201200","201200"
"40630","0.052550350674069844","0.052550350674069844","0.052550350674069844","201800","201800","201800"
"41108","0.0474794176645959","0.0474794176645959","0.0474794176645959","202401","202401","202401"
"41586","0.05644494180495922","0.05644494180495922","0.05644494180495922","203001","203001","203001"
"42064","0.045471004055938326","0.045471004055938326","0.045471004055938326","203602","203602","203602"
"42542","0.04895300308290201","0.04895300308290201","0.04895300308290201","204202","204202","204202"
"43020","0.05669574649670185","0.05669574649670185","0.05669574649670185","204803","204803","204803"
"43498","0.04975330581267675","0.04975330581267675","0.04975330581267675","205403","205403","205403"
"43976","0.05354602702964957","0.05354602702964957","0.05354602702964957","206004","206004","206004"
"44454","0.05898836054480993","0.05898836054480993","0.05898836054480993","206604","206604","206604"
"44932","0.049219722187934585","0.049219722187934585","0.049219722187934585","207205","207205","207205"
"45410","0.06084462559710328","0.06084462559710328","0.06084462559710328","207805","207805","207805"
"45888","0.05857885046265064","0.05857885046265064","0.05857885046265064","208406","208406","208406"
"46366","0.05875371967275173","0.05875371967275173","0.05875371967275173","209006","209006","209006"
"46844","0.05849455089833683","0.05849455089833683","0.05849455089833683","209607","209607","209607"
"47322","0.06082006304626329","0.06082006304626329","0.06082006304626329","210207","210207","210207"
"47800","0.06797752914448771","0.06797752914448771","0.06797752914448771","210808","210808","210808"
"48278","0.06607710696661319","0.06607710696661319","0.06607710696661319","211408","211408","211408"
"48756","0.05434044217541575","0.05434044217541575","0.05434044217541575","212009","212009","212009"
"49234","0.042488807173541344","0.042488807173541344","0.042488807173541344","212609","212609","212609"
"49712","0.06341576555636354","0.06341576555636354","0.06341576555636354","213210","213210","213210"
"50190","0.07042076784030844","0.07042076784030844","0.07042076784030844","213810","213810","213810"
"50668","0.06364520060985039","0.06364520060985039","0.06364520060985039","214411","214411","214411"
"51146","0.05762177137419199","0.05762177137419199","0.05762177137419199","215011","215011","215011"
"51624","0.06916730343931331","0.06916730343931331","0.06916730343931331","215612","215612","215612"
"52102","0.06544066957221964","0.06544066957221964","0.06544066957221964","216212","216212","216212"
"52580","0.06105678515413251","0.06105678515413251","0.06105678515413251","216813","216813","216813"
"53058","0.05414648136147895","0.05414648136147895","0.05414648136147895","217413","217413","217413"
"53536","0.05817585941911556","0.05817585941911556","0.05817585941911556","218014","218014","218014"
"54014","0.05431853228797897","0.05431853228797897","0.05431853228797897","218614","218614","218614"
"54492","0.06665361168770453","0.06665361168770453","0.06665361168770453","219215","219215","219215"
"54970","0.05568024957886873","0.05568024957886873","0.05568024957886873","219815","219815","219815"
"55448","0.06167625324227489","0.06167625324227489","0.06167625324227489","220416","220416","220416"
"55926","0.05535297912175361","0.05535297912175361","0.05535297912175361","221016","221016","221016"
"56404","0.0736769664978895","0.0736769664978895","0.0736769664978895","221617","221617","221617"
"56882","0.05862895088891188","0.05862895088891188","0.05862895088891188","222217","222217","222217"
"57360","0.06910445285626711","0.06910445285626711","0.06910445285626711","222818","222818","222818"
"57838","0.06110646204951291","0.06110646204951291","0.06110646204951291","223418","223418","223418"
"58316","0.07522936743230392","0.07522936743230392","0.07522936743230392","224019","224019","224019"
"58794","0.07389978597609279","0.07389978597609279","0.07389978597609279","224619","224619","224619"
"59272","0.061914943743688174","0.061914943743688174","0.061914943743688174","225220","225220","225220"
"59750","0.06322643557229103","0.06322643557229103","0.06322643557229103","225820","225820","225820"
"60228","0.0660575070994524","0.0660575070994524","0.0660575070994524","226421","226421","226421"
"60706","0.0645765506166917","0.0645765506166917","0.0645765506166917","227021","227021","227021"
"61184","0.06288939910248303","0.06288939910248303","0.06288939910248303","227622","227622","227622"
"61662","0.05113920432109481","0.05113920432109481","0.05113920432109481","228222","228222","228222"
"62140","0.06088708467387523","0.06088708467387523","0.06088708467387523","228823","228823","228823"
"62618","0.07983147129953767","0.07983147129953767","0.07983147129953767","229423","229423","229423"
"63096","0.07114344569615638","0.07114344569615638","0.07114344569615638","230024","230024","230024"
"63574","0.07417089791777425","0.07417089791777425","0.07417089791777425","230624","230624","230624"
"64052","0.04836062410882173","0.04836062410882173","0.04836062410882173","231225","231225","231225"
"64530","0.05227441261880673","0.05227441261880673","0.05227441261880673","231825","231825","231825"
"65008","0.05009067411988209","0.05009067411988209","0.05009067411988209","232426","232426","232426"
"65486","0.06785167611610049","0.06785167611610049","0.06785167611610049","233026","233026","233026"
"65964","0.06604848637615736","0.06604848637615736","0.06604848637615736","233627","233627","233627"
"66442","0.06508413731502607","0.06508413731502607","0.06508413731502607","234227","234227","234227"
"66920","0.07358957384717658","0.07358957384717658","0.07358957384717658","234828","234828","234828"
"67398","0.0702229838934727","0.0702229838934727","0.0702229838934727","235428","235428","235428"
"67876","0.06668993807248533","0.06668993807248533","0.06668993807248533","236029","236029","236029"
"68354","0.06735437587560274","0.06735437587560274","0.06735437587560274","236629","236629","236629"
"68832","0.07053907761254753","0.07053907761254753","0.07053907761254753","237230","237230","237230"
"69310","0.07916644803630427","0.07916644803630427","0.07916644803630427","237830","237830","237830"
"69788","0.06916484620589285","0.06916484620589285","0.06916484620589285","238431","238431","238431"
"70266","0.06219696863673818","0.06219696863673818","0.06219696863673818","239031","239031","239031"
"70744","0.06942235616943201","0.06942235616943201","0.06942235616943201","239632","239632","239632"
"71222","0.06268145475321664","0.06268145475321664","0.06268145475321664","240232","240232","240232"
"71700","0.07851462753919455","0.07851462753919455","0.07851462753919455","240833","240833","240833"
"72178","0.07797856989483802","0.07797856989483802","0.07797856989483802","241433","241433","241433"
"72656","0.08040717906223084","0.08040717906223084","0.08040717906223084","242034","242034","242034"
"73134","0.08317112408053035","0.08317112408053035","0.08317112408053035","242634","242634","242634"
"73612","0.07917775532517296","0.07917775532517296","0.07917775532517296","243235","243235","243235"
"74090","0.06121737440713705","0.06121737440713705","0.06121737440713705","243835","243835","243835"
"74568","0.07118464332933609","0.07118464332933609","0.07118464332933609","244436","244436","244436"
"75046","0.07369302908101907","0.07369302908101907","0.07369302908101907","245036","245036","245036"
"75524","0.06395582653931342","0.06395582653931342","0.06395582653931342","245637","245637","245637"
"76002","0.06848219661071944","0.06848219661071944","0.06848219661071944","246237","246237","246237"
"76480","0.08024149112260112","0.08024149112260112","0.08024149112260112","246838","246838","246838"
"76958","0.07432385825832637","0.07432385825832637","0.07432385825832637","247438","247438","247438"
"77436","0.08020748701901773","0.08020748701901773","0.08020748701901773","248039","248039","248039"
"77914","0.07775807138890602","0.07775807138890602","0.07775807138890602","248639","248639","248639"
"78392","0.07521501402609432","0.07521501402609432","0.07521501402609432","249240","249240","249240"
"78870","0.06960826522360246","0.06960826522360246","0.06960826522360246","249840","249840","249840"
"79348","0.06424575599316412","0.06424575599316412","0.06424575599316412","250441","250441","250441"
"79826","0.06566318896791647","0.06566318896791647","0.06566318896791647","251041","251041","251041"
"80304","0.062359020747139886","0.062359020747139886","0.062359020747139886","251642","251642","251642"
"80782","0.0664653596199619","0.0664653596199619","0.0664653596199619","252242","252242","252242"
"81260","0.06454118295835379","0.06454118295835379","0.06454118295835379","252843","252843","252843"
"81738","0.06133091315906569","0.06133091315906569","0.06133091315906569","253443","253443","253443"
"82216","0.06615521284626223","0.06615521284626223","0.06615521284626223","254044","254044","254044"
"82694","0.07343218747812968","0.07343218747812968","0.07343218747812968","254644","254644","254644"
"83172","0.06723664825161298","0.06723664825161298","0.06723664825161298","255245","255245","255245"
"83650","0.09097065045558012","0.09097065045558012","0.09097065045558012","255845","255845","255845"
"84128","0.07773840444114728","0.07773840444114728","0.07773840444114728","256446","256446","256446"
"84606","0.05551477771279259","0.05551477771279259","0.05551477771279259","257046","257046","257046"
"85084","0.09069362645729995","0.09069362645729995","0.09069362645729995","257647","257647","257647"
"85562","0.07128961650111403","0.07128961650111403","0.07128961650111403","258247","258247","258247"
"86040","0.074055277575285","0.074055277575285","0.074055277575285","258848","258848","258848"
"86518","0.06346432022070449","0.06346432022070449","0.06346432022070449","259448","259448","259448"
"86996","0.058194480975194335","0.058194480975194335","0.058194480975194335","260049","260049","260049"
"87474","0.06632904140636899","0.06632904140636899","0.06632904140636899","260649","260649","260649"
"87952","0.06511625371431598","0.06511625371431598","0.06511625371431598","261250","261250","261250"
"88430","0.07584257468578215","0.07584257468578215","0.07584257468578215","261850","261850","261850"
"88908","0.07004357845998573","0.07004357845998573","0.07004357845998573","262451","262451","262451"
"89386","0.07278899309368661","0.07278899309368661","0.07278899309368661","263051","263051","263051"
"89864","0.0821814409066111","0.0821814409066111","0.0821814409066111","263652","263652","263652"
"90342","0.0657328197431082","0.0657328197431082","0.0657328197431082","264252","264252","264252"
"90820","0.07456288488211636","0.07456288488211636","0.07456288488211636","264853","264853","264853"
"91298","0.07557831395369692","0.07557831395369692","0.07557831395369692","265453","265453","265453"
"91776","0.06127243141572063","0.06127243141572063","0.06127243141572063","266054","266054","266054"
"92254","0.0861989430984697","0.0861989430984697","0.0861989430984697","266654","266654","266654"
"92732","0.0750377412895875","0.0750377412895875","0.0750377412895875","267255","267255","267255"
"93210","0.06240738796380659","0.06240738796380659","0.06240738796380659","267855","267855","267855"
"93688","0.06973892016461693","0.06973892016461693","0.06973892016461693","268456","268456","268456"
"94166","0.0770370729216479","0.0770370729216479","0.0770370729216479","269056","269056","269056"
"94644","0.08063310035205899","0.08063310035205899","0.08063310035205899","269657","269657","269657"
"95122","0.08120737583615267","0.08120737583615267","0.08120737583615267","270257","270257","270257"
"95600","0.08519172217720786","0.08519172217720786","0.08519172217720786","270858","270858","270858"
"96078","0.06889548209101821","0.06889548209101821","0.06889548209101821","271458","271458","271458"
"96556","0.0771768287074967","0.0771768287074967","0.0771768287074967","272059","272059","272059"
"97034","0.06597134580190939","0.06597134580190939","0.06597134580190939","272659","272659","272659"
"97512","0.1046679427799506","0.1046679427799506","0.1046679427799506","273260","273260","273260"
"97990","0.080880379458764","0.080880379458764","0.080880379458764","273860","273860","273860"
"98468","0.07405371400408256","0.07405371400408256","0.07405371400408256","274461","274461","274461"
"98946","0.08479296857825457","0.08479296857825457","0.08479296857825457","275061","275061","275061"
"99424","0.06948005605059174","0.06948005605059174","0.06948005605059174","275662","275662","275662"
"99902","0.07586674053723422","0.07586674053723422","0.07586674053723422","276262","276262","276262"
"100380","0.07220133772576585","0.07220133772576585","0.07220133772576585","276863","276863","276863"
"100858","0.07965304815353683","0.07965304815353683","0.07965304815353683","277463","277463","277463"
"101336","0.07207714243290517","0.07207714243290517","0.07207714243290517","278064","278064","278064"
"101814","0.08152214900399439","0.08152214900399439","0.08152214900399439","278664","278664","278664"
"102292","0.07419087553474431","0.07419087553474431","0.07419087553474431","279265","279265","279265"
"102770","0.062152694791364364","0.062152694791364364","0.062152694791364364","279865","279865","279865"
"103248","0.0727588537011821","0.0727588537011821","0.0727588537011821","280466","280466","280466"
"103726","0.07835798339846616","0.07835798339846616","0.07835798339846616","281066","281066","281066"
"104204","0.08520619895977852","0.08520619895977852","0.08520619895977852","281667","281667","281667"
"104682","0.07840899544027753","0.07840899544027753","0.07840899544027753","282267","282267","282267"
"105160","0.07921148410950525","0.07921148410950525","0.07921148410950525","282868","282868","282868"
"105638","0.07989131882995701","0.07989131882995701","0.07989131882995701","283468","283468","283468"
"106116","0.0811549405901669","0.0811549405901669","0.0811549405901669","284069","284069","284069"
"106594","0.08345944394032137","0.08345944394032137","0.08345944394032137","284669","284669","284669"
"107072","0.08399409004964699","0.08399409004964699","0.08399409004964699","285270","285270","285270"
"107550","0.07982499413311672","0.07982499413311672","0.07982499413311672","285870","285870","285870"
"108028","0.07560202073401366","0.07560202073401366","0.07560202073401366","286471","286471","286471"
"108506","0.08754027568591902","0.08754027568591902","0.08754027568591902","287071","287071","287071"
"108984","0.061333966128026635","0.061333966128026635","0.061333966128026635","287672","287672","287672"
"109462","0.06936787440178868","0.06936787440178868","0.06936787440178868","288272","288272","288272"
"109940","0.08804893607315861","0.08804893607315861","0.08804893607315861","288873","288873","288873"
"110418","0.07407446273077184","0.07407446273077184","0.07407446273077184","289473","289473","289473"
"110896","0.07055035466328263","0.07055035466328263","0.07055035466328263","290074","290074","290074"
"111374","0.09116927966869508","0.09116927966869508","0.09116927966869508","290674","290674","290674"
"111852","0.07843404373106284","0.07843404373106284","0.07843404373106284","291275","291275","291275"
"112330","0.0658916927473351","0.0658916927473351","0.0658916927473351","291875","291875","291875"
"112808","0.07005839061756165","0.07005839061756165","0.07005839061756165","292476","292476","292476"
"113286","0.07847888201761705","0.07847888201761705","0.07847888201761705","293076","293076","293076"
"113764","0.081245277217255","0.081245277217255","0.081245277217255","293677","293677","293677"
"114242","0.08983704752217118","0.08983704752217118","0.08983704752217118","294277","294277","294277"
"114720","0.08517603025747797","0.08517603025747797","0.08517603025747797","294878","294878","294878"
"115198","0.06282642129689264","0.06282642129689264","0.06282642129689264","295478","295478","295478"
"115676","0.08276165929885629","0.08276165929885629","0.08276165929885629","296079","296079","296079"
"116154","0.07266002954342045","0.07266002954342045","0.07266002954342045","296679","296679","296679"
"116632","0.05972967356837426","0.05972967356837426","0.05972967356837426","297280","297280","297280"
"117110","0.07974406112080966","0.07974406112080966","0.07974406112080966","297880","297880","297880"
"117588","0.07688072535137717","0.07688072535137717","0.07688072535137717","298481","298481","298481"
"118066","0.09034954096886139","0.09034954096886139","0.09034954096886139","299081","299081","299081"
"118544","0.07695433080647117","0.07695433080647117","0.07695433080647117","299682","299682","299682"
"119022","0.08917332951051112","0.08917332951051112","0.08917332951051112","300282","300282","300282"
"119500","0.08517693279263301","0.08517693279263301","0.08517693279263301","300883","300883","300883"
"119978","0.07820494785212362","0.07820494785212362","0.07820494785212362","301483","301483","301483"
"119999","0.08740388230981831","0.08740388230981831","0.08740388230981831","301511","301511","301511"
