"global_step","rebellious-stork-38993360 - valid_lvl3/val_dice_ct","rebellious-stork-38993360 - valid_lvl3/val_dice_ct__MIN","rebellious-stork-38993360 - valid_lvl3/val_dice_ct__MAX","rebellious-stork-38993360 - _step","rebellious-stork-38993360 - _step__MIN","rebellious-stork-38993360 - _step__MAX"
"0","0.33066436571952623","0.33066436571952623","0.33066436571952623","150758","150758","150758"
"478","0.29492811667613494","0.29492811667613494","0.29492811667613494","151358","151358","151358"
"956","0.30971106810447496","0.30971106810447496","0.30971106810447496","151959","151959","151959"
"1434","0.3022567950762235","0.3022567950762235","0.3022567950762235","152559","152559","152559"
"1912","0.3006350306364206","0.3006350306364206","0.3006350306364206","153160","153160","153160"
"2390","0.30416717284765","0.30416717284765","0.30416717284765","153760","153760","153760"
"2868","0.30822878770339185","0.30822878770339185","0.30822878770339185","154361","154361","154361"
"3346","0.308288037776947","0.308288037776947","0.308288037776947","154961","154961","154961"
"3824","0.30638837050168943","0.30638837050168943","0.30638837050168943","155562","155562","155562"
"4302","0.30851197701234084","0.30851197701234084","0.30851197701234084","156162","156162","156162"
"4780","0.3100223999757033","0.3100223999757033","0.3100223999757033","156763","156763","156763"
"5258","0.30827800585673404","0.30827800585673404","0.30827800585673404","157363","157363","157363"
"5736","0.29866266861940044","0.29866266861940044","0.29866266861940044","157964","157964","157964"
"6214","0.30215666538629776","0.30215666538629776","0.30215666538629776","158564","158564","158564"
"6692","0.30493695919330305","0.30493695919330305","0.30493695919330305","159165","159165","159165"
"7170","0.301320737753159","0.301320737753159","0.301320737753159","159765","159765","159765"
"7648","0.2989790164507352","0.2989790164507352","0.2989790164507352","160366","160366","160366"
"8126","0.30188417740357226","0.30188417740357226","0.30188417740357226","160966","160966","160966"
"8604","0.2979361965106084","0.2979361965106084","0.2979361965106084","161567","161567","161567"
"9082","0.29508633949817753","0.29508633949817753","0.29508633949817753","162167","162167","162167"
"9560","0.29713865579702914","0.29713865579702914","0.29713865579702914","162768","162768","162768"
"10038","0.29973993393091053","0.29973993393091053","0.29973993393091053","163368","163368","163368"
"10516","0.29508138314271587","0.29508138314271587","0.29508138314271587","163969","163969","163969"
"10994","0.2944351343008188","0.2944351343008188","0.2944351343008188","164569","164569","164569"
"11472","0.30115217734605837","0.30115217734605837","0.30115217734605837","165170","165170","165170"
"11950","0.29793474613091886","0.29793474613091886","0.29793474613091886","165770","165770","165770"
"12428","0.2947370409965515","0.2947370409965515","0.2947370409965515","166371","166371","166371"
"12906","0.29935698478649825","0.29935698478649825","0.29935698478649825","166971","166971","166971"
"13384","0.29631401942326474","0.29631401942326474","0.29631401942326474","167572","167572","167572"
"13862","0.2946864718045944","0.2946864718045944","0.2946864718045944","168172","168172","168172"
"14340","0.2949559505169208","0.2949559505169208","0.2949559505169208","168773","168773","168773"
"14818","0.2958136323170784","0.2958136323170784","0.2958136323170784","169373","169373","169373"
"15296","0.2995088390814952","0.2995088390814952","0.2995088390814952","169974","169974","169974"
"15774","0.29845824914100844","0.29845824914100844","0.29845824914100844","170574","170574","170574"
"16252","0.2960173609929207","0.2960173609929207","0.2960173609929207","171175","171175","171175"
"16730","0.30465041521268016","0.30465041521268016","0.30465041521268016","171775","171775","171775"
"17208","0.3029391979559874","0.3029391979559874","0.3029391979559874","172376","172376","172376"
"17686","0.29818019347313124","0.29818019347313124","0.29818019347313124","172976","172976","172976"
"18164","0.2936748953965994","0.2936748953965994","0.2936748953965994","173577","173577","173577"
"18642","0.2990918251184317","0.2990918251184317","0.2990918251184317","174177","174177","174177"
"19120","0.29750705987979204","0.29750705987979204","0.29750705987979204","174778","174778","174778"
"19598","0.29742858043083775","0.29742858043083775","0.29742858043083775","175378","175378","175378"
"20076","0.2942494291525621","0.2942494291525621","0.2942494291525621","175979","175979","175979"
"20554","0.2954656741557977","0.2954656741557977","0.2954656741557977","176579","176579","176579"
"21032","0.29213007443990463","0.29213007443990463","0.29213007443990463","177180","177180","177180"
"21510","0.3000204991071652","0.3000204991071652","0.3000204991071652","177780","177780","177780"
"21988","0.29185415689761823","0.29185415689761823","0.29185415689761823","178381","178381","178381"
"22466","0.29335573544869054","0.29335573544869054","0.29335573544869054","178981","178981","178981"
"22944","0.2940933811358916","0.2940933811358916","0.2940933811358916","179582","179582","179582"
"23422","0.2943874139052171","0.2943874139052171","0.2943874139052171","180182","180182","180182"
"23900","0.2942082622112372","0.2942082622112372","0.2942082622112372","180783","180783","180783"
"24378","0.29536837797898513","0.29536837797898513","0.29536837797898513","181383","181383","181383"
"24856","0.2920254377218393","0.2920254377218393","0.2920254377218393","181984","181984","181984"
"25334","0.2930294122451391","0.2930294122451391","0.2930294122451391","182584","182584","182584"
"25812","0.2908046046892802","0.2908046046892802","0.2908046046892802","183185","183185","183185"
"26290","0.2916217354627756","0.2916217354627756","0.2916217354627756","183785","183785","183785"
"26768","0.2916719760650244","0.2916719760650244","0.2916719760650244","184386","184386","184386"
"27246","0.29249535004297894","0.29249535004297894","0.29249535004297894","184986","184986","184986"
"27724","0.29812048643063277","0.29812048643063277","0.29812048643063277","185587","185587","185587"
"28202","0.29289611333455795","0.29289611333455795","0.29289611333455795","186187","186187","186187"
"28680","0.2922934538278824","0.2922934538278824","0.2922934538278824","186788","186788","186788"
"29158","0.2927959301532843","0.2927959301532843","0.2927959301532843","187388","187388","187388"
"29636","0.29200845803969944","0.29200845803969944","0.29200845803969944","187989","187989","187989"
"30114","0.28911769695771045","0.28911769695771045","0.28911769695771045","188589","188589","188589"
"30592","0.29241207929757923","0.29241207929757923","0.29241207929757923","189190","189190","189190"
"31070","0.29210582757607484","0.29210582757607484","0.29210582757607484","189790","189790","189790"
"31548","0.2909933450894478","0.2909933450894478","0.2909933450894478","190391","190391","190391"
"32026","0.2928127890978104","0.2928127890978104","0.2928127890978104","190991","190991","190991"
"32504","0.295894891787798","0.295894891787798","0.295894891787798","191592","191592","191592"
"32982","0.2886549861003191","0.2886549861003191","0.2886549861003191","192192","192192","192192"
"33460","0.2943383929056999","0.2943383929056999","0.2943383929056999","192793","192793","192793"
"33938","0.2930612793335548","0.2930612793335548","0.2930612793335548","193393","193393","193393"
"34416","0.2928956777621538","0.2928956777621538","0.2928956777621538","193994","193994","193994"
"34894","0.285753071308136","0.285753071308136","0.285753071308136","194594","194594","194594"
"35372","0.2910962441028693","0.2910962441028693","0.2910962441028693","195195","195195","195195"
"35850","0.29003623051521105","0.29003623051521105","0.29003623051521105","195795","195795","195795"
"36328","0.2862070095844758","0.2862070095844758","0.2862070095844758","196396","196396","196396"
"36806","0.28884417429948467","0.28884417429948467","0.28884417429948467","196996","196996","196996"
"37284","0.28659389722041595","0.28659389722041595","0.28659389722041595","197597","197597","197597"
"37762","0.2855507853703621","0.2855507853703621","0.2855507853703621","198197","198197","198197"
"38240","0.2850563082939539","0.2850563082939539","0.2850563082939539","198798","198798","198798"
"38718","0.2873287216210977","0.2873287216210977","0.2873287216210977","199398","199398","199398"
"39196","0.2872257293798985","0.2872257293798985","0.2872257293798985","199999","199999","199999"
"39674","0.28408860854613477","0.28408860854613477","0.28408860854613477","200599","200599","200599"
"40152","0.28502403619961864","0.28502403619961864","0.28502403619961864","201200","201200","201200"
"40630","0.28822396810238177","0.28822396810238177","0.28822396810238177","201800","201800","201800"
"41108","0.2843146201891777","0.2843146201891777","0.2843146201891777","202401","202401","202401"
"41586","0.28354849570836776","0.28354849570836776","0.28354849570836776","203001","203001","203001"
"42064","0.28379999827115965","0.28379999827115965","0.28379999827115965","203602","203602","203602"
"42542","0.2836980254222185","0.2836980254222185","0.2836980254222185","204202","204202","204202"
"43020","0.2835460549745804","0.2835460549745804","0.2835460549745804","204803","204803","204803"
"43498","0.28104845988444793","0.28104845988444793","0.28104845988444793","205403","205403","205403"
"43976","0.2799996978197342","0.2799996978197342","0.2799996978197342","206004","206004","206004"
"44454","0.2825827965369591","0.2825827965369591","0.2825827965369591","206604","206604","206604"
"44932","0.2810168954042288","0.2810168954042288","0.2810168954042288","207205","207205","207205"
"45410","0.2833333886586703","0.2833333886586703","0.2833333886586703","207805","207805","207805"
"45888","0.27817616095909703","0.27817616095909703","0.27817616095909703","208406","208406","208406"
"46366","0.2814605236053467","0.2814605236053467","0.2814605236053467","209006","209006","209006"
"46844","0.2818066233243698","0.2818066233243698","0.2818066233243698","209607","209607","209607"
"47322","0.28685101790305895","0.28685101790305895","0.28685101790305895","210207","210207","210207"
"47800","0.27857845563154954","0.27857845563154954","0.27857845563154954","210808","210808","210808"
"48278","0.28269369632769853","0.28269369632769853","0.28269369632769853","211408","211408","211408"
"48756","0.28287925322850543","0.28287925322850543","0.28287925322850543","212009","212009","212009"
"49234","0.2838547306183057","0.2838547306183057","0.2838547306183057","212609","212609","212609"
"49712","0.28013082039661896","0.28013082039661896","0.28013082039661896","213210","213210","213210"
"50190","0.27685418801429945","0.27685418801429945","0.27685418801429945","213810","213810","213810"
"50668","0.28016375884031636","0.28016375884031636","0.28016375884031636","214411","214411","214411"
"51146","0.2767395361875876","0.2767395361875876","0.2767395361875876","215011","215011","215011"
"51624","0.2814432076918773","0.2814432076918773","0.2814432076918773","215612","215612","215612"
"52102","0.27400237016188794","0.27400237016188794","0.27400237016188794","216212","216212","216212"
"52580","0.27895361949235964","0.27895361949235964","0.27895361949235964","216813","216813","216813"
"53058","0.2759369351924994","0.2759369351924994","0.2759369351924994","217413","217413","217413"
