,ncc,dice,jacob,smooth,tlg,jactum,rigidity,dice_bone,dice_soft
ncc,1.0,0.5924040901213885,-0.14647462760843336,-0.7472347435355187,-0.021487641754094507,-0.1551273266817443,-0.5324008174538613,0.48236313932016484,0.47087372155487534
dice,0.5924040901213885,1.0,-0.09117086144257339,-0.45384417307376856,-0.01586506143932638,-0.09953532647050452,-0.423935264237225,0.8012560861408712,0.7739897249341011
jacob,-0.14647462760843336,-0.09117086144257339,1.0,0.22184803347336132,0.0016074657879969556,0.04688277573563413,0.12594473870727232,-0.05424034954649687,-0.09185128975845874
smooth,-0.7472347435355187,-0.45384417307376856,0.22184803347336132,1.0,0.024519621625542644,0.1896559296421474,0.5256662766039372,-0.3098035960872657,-0.4280543975029141
tlg,-0.021487641754094507,-0.01586506143932638,0.0016074657879969556,0.024519621625542644,1.0,0.04571507097117137,0.04643938070198056,-0.014678360257996246,-0.015219959481619298
jactum,-0.1551273266817443,-0.09953532647050452,0.04688277573563413,0.1896559296421474,0.04571507097117137,1.0,0.2556517243767157,-0.08543666783627123,-0.08157196673419094
rigidity,-0.5324008174538613,-0.423935264237225,0.12594473870727232,0.5256662766039372,0.04643938070198056,0.2556517243767157,1.0,-0.45015628484822806,-0.23214437777455893
dice_bone,0.48236313932016484,0.8012560861408712,-0.05424034954649687,-0.3098035960872657,-0.014678360257996246,-0.08543666783627123,-0.45015628484822806,1.0,0.26550237883115185
dice_soft,0.47087372155487534,0.7739897249341011,-0.09185128975845874,-0.4280543975029141,-0.015219959481619298,-0.08157196673419094,-0.23214437777455893,0.26550237883115185,1.0
